cardname,cardq,cardrarity,card_edition,cardset,cardcode,cardid,print_id,description,cardtype,type,monstertype,attribute,atk,def,level,pscales,lcount,larrows
Abyss Dweller ,0,Ultra Rare,Forbidden,Forgotten City Dwellers; Master Pack,,21044178,,"2 Level 4 monsters
While this card has a material attached that was originally WATER, all WATER monsters you control gain 500 ATK. Once per turn (Quick Effect): You can detach 1 material from this card; your opponent cannot activate any card effects in their GY this turn.",Monster,Xyz;Effect,Sea Serpent,WATER,1700,1400,4,,,
Abyss Flower ,0,Common,Unlimited,,,40387124,,A rarely seen flower that blossoms quietly on the edge of darkness.,Monster,Normal,Plant,EARTH,750,400,2,,,
Abyss Keeper ,0,Rare,Unlimited,Cosmic Ocean; Master Pack; Raging God of the Sea; The Synchronized Cosmos; Treasures of the Cosmic Ocean,,82184400,,"2 WATER monsters
Cannot be used as Link Material the turn it is Link Summoned. If this card is Link Summoned: You can Special Summon 1 Fish monster from your hand to your zone this card points to. You can target 1 other Fish monster you control and 1 card your opponent controls; banish those cards. You can only use each effect of ""Abyss Keeper"" once per turn.",Monster,Link;Effect,Fish,WATER,1500,,,,2,Bottom-Left; Bottom-Right
Abyss Playhouse - Fantastic Theater ,0,Super Rare,Unlimited,Climax of the Showdown; Master Pack; The Darkness Amuses,,77297908,,"You can reveal 1 ""Abyss Actor"" Pendulum Monster and 1 ""Abyss Script"" Spell in your hand; add 1 ""Abyss Script"" Spell from your Deck to your hand, with a different name than that revealed Spell. While you control a Pendulum Summoned ""Abyss Actor"" Pendulum Monster, any monster effect activated by your opponent becomes ""Destroy 1 Set Spell/Trap your opponent controls"". You can only use each effect of ""Abyss Playhouse - Fantastic Theater"" once per turn.",Spell,Field,,,,,,,,
Abyss Prop - Wild Wagon ,0,Common,Unlimited,Master Pack; The Darkness Amuses,,86578200,,"The first time each ""Abyss Actor"" monster you control would be destroyed by battle each turn, it is not destroyed. Once per turn: You can target 1 ""Abyss Actor"" monster you control; your opponent cannot target it with card effects until the end of their turn (even if this card leaves the field). If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can return all cards your opponent controls to the hand.",Spell,Continuous,,,,,,,,
Abyss Script - Abysstainment ,0,Common,Unlimited,Master Pack; The Darkness Amuses,,70564929,,"You can Tribute 1 ""Abyss Actor"" monster, then target 1 ""Abyss Script"" Spell in your GY; Set it to your field. You can use this effect of ""Abyss Script - Abysstainment"" up to twice per turn. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can Special Summon any number of ""Abyss Actor"" Pendulum Monsters from your Deck.",Spell,Continuous,,,,,,,,
Abyss Script - Dramatic Story ,0,Rare,Unlimited,Climax of the Showdown; Master Pack,,33503878,,"Target 1 ""Abyss Actor"" Pendulum Monster you control; Special Summon 1 ""Abyss Actor"" monster from your Deck with a different name, then place the targeted monster in your Pendulum Zone or destroy it. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can return up to 2 cards on the field to the hand. You can only activate 1 ""Abyss Script - Dramatic Story"" per turn.",Spell,Normal,,,,,,,,
Abyss Script - Fantasy Magic ,0,Common,Unlimited,Master Pack; The Darkness Amuses,,87390798,,"Target 1 ""Abyss Actor"" monster you control; this turn, every monster that battles it, but is not destroyed, returns to the hand at the end of the Damage Step. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can target 1 card your opponent controls; place it on top of the Deck.",Spell,Normal,,,,,,,,
Abyss Script - Fire Dragon's Lair ,0,Common,Unlimited,Climax of the Showdown; Master Pack; The Darkness Amuses,,50179591,,"Target 1 ""Abyss Actor"" monster you control; if it destroys your opponent's monster by battle this turn, your opponent banishes 3 monsters from their Extra Deck (their choice). If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can look at your opponent's Extra Deck, also banish 1 monster from their Extra Deck. You can only use this effect of ""Abyss Script - Fire Dragon's Lair"" once per turn.",Spell,Normal,,,,,,,,
Abyss Script - Opening Ceremony ,0,Common,Unlimited,Climax of the Showdown; Master Pack; The Darkness Amuses,,23784496,,"Gain 500 LP for each ""Abyss Actor"" monster you control. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can draw until you have 5 cards in your hand. You can only use each effect of ""Abyss Script - Opening Ceremony"" once per turn.",Spell,Normal,,,,,,,,
Abyss Script - Rise of the Abyss King ,0,Super Rare,Unlimited,Master Pack; The Darkness Amuses,,13662809,,"Target face-up cards on the field, up to the number of Attack Position ""Abyss Actor"" monsters with different names you control; destroy them. If you control a Level 7 or higher ""Abyss Actor"" monster, your opponent cannot activate cards or effects in response to this card's activation. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can add up to 2 ""Abyss Actor"" cards and/or ""Abyss Script"" Spells with different names from your Deck to your hand.",Spell,Normal,,,,,,,,
Abyss Script - Romantic Terror ,0,Rare,Unlimited,Master Pack; The Darkness Amuses,,41803903,,"Return 1 ""Abyss Actor"" Pendulum Monster you control to the hand, and if you do, Special Summon from your Extra Deck in Defense Position, 1 face-up ""Abyss Actor"" Pendulum Monster with a different original name from that monster. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can Set any number of ""Abyss Script"" Spells directly from your Deck. You can only activate 1 ""Abyss Script - Romantic Terror"" per turn.",Spell,Quick-Play,,,,,,,,
Abyss Shark ,0,Super Rare,Unlimited,Cosmic Ocean; Master Pack; Onslaught of Emperors; Overlay of Obsidian Armor; Raging God of the Sea,,61496006,,"If this card is used for the Xyz Summon of a ""Number"" monster, it can be treated as a Level 3 or 4 monster. If all monsters you control are WATER (min. 1): You can Special Summon this card from your hand, and if you do, add 1 Level 3, 4, or 5 Fish monster from your Deck to your hand, except ""Abyss Shark"". For the rest of this turn, you cannot Special Summon monsters, except WATER monsters, also, double the first battle damage inflicted to your opponent this turn by your ""Number"" monster battling another monster. You can only use this effect of ""Abyss Shark"" once per turn.",Monster,Effect,Fish,WATER,1200,700,5,,,
Abyss Soldier ,0,Rare,Unlimited,Master Pack,,18318842,,Once per turn: You can discard 1 WATER monster to the Graveyard to target 1 card on the field; return it to the hand.,Monster,Effect,Aqua,WATER,1800,1300,4,,,
Abyss Stungray ,0,Common,Unlimited,Master Pack,,97232518,,"Special Summon this card as an Effect Monster (Thunder-Type/LIGHT/Level 5/ATK 1900/DEF 0). (This card is also still a Trap Card.) If Summoned this way, this card cannot be destroyed by battle.",Trap,Continuous,,,,,,,,
Abyss Warrior ,0,Rare,Unlimited,Legacy Pack,,88409165,,"Once per turn: You can discard 1 WATER monster to the Graveyard, then target 1 monster in either player's Graveyard; return that target to either the top or bottom of the Deck.",Monster,Effect,Aqua,WATER,1800,1300,4,,,
Accellight ,0,Rare,Unlimited,Master Pack; Nebula Cyclone,,34838437,,"If you control no monsters: Special Summon 1 Level 4 or lower ""Photon"" or ""Galaxy"" monster from your Deck. You can only activate 1 ""Accellight"" per turn. You cannot Normal Summon/Set during the turn you activate this card.",Spell,Normal,,,,,,,,
Accel Synchron ,0,Rare,Unlimited,Beyond Speed; Evoked Dragon of Miracles; Master Pack; Ride Into the Future; Stardust Ties; The Perpetual Maze,,37675907,,"1 Tuner + 1+ non-Tuner monsters
Once per turn: You can send 1 ""Synchron"" monster from your Deck to the GY, then activate 1 of these effects;
●Increase this card's Level by the Level of the sent monster.
●Reduce this card's Level by the Level of the sent monster.
During your opponent's Main Phase, you can (Quick Effect): Immediately after this effect resolves, Synchro Summon using this card you control. You can only Synchro Summon ""Accel Synchron"" once per turn.",Monster,Synchro;Tuner;Effect,Machine,DARK,500,2100,5,,,
Accel Synchro Stardust Dragon ,0,Ultra Rare,Unlimited,Evoked Dragon of Miracles; Master Pack; The Synchronized Cosmos,,30983281,,"1 Tuner + 1+ non-Tuner monsters
If this card is Synchro Summoned: You can Special Summon 1 Level 2 or lower Tuner from your GY. During the Main Phase (Quick Effect): You can Tribute this card; Special Summon 1 ""Stardust Dragon"" from your Extra Deck (this is treated as a Synchro Summon), then, immediately after this effect resolves, Synchro Summon using monsters you control as material. For the rest of this turn, the monsters Synchro Summoned by this effect are unaffected by your opponent's activated effects. You can only use each effect of ""Accel Synchro Stardust Dragon"" once per turn.",Monster,Synchro;Effect,Dragon,WIND,2500,2000,8,,,
Accesscode Talker ,0,Ultra Rare,Unlimited,Master Pack; Name of Champions; Soldiers from the Storm,,86066372,,"2+ Effect Monsters
Your opponent cannot activate cards or effects in response to this card's effect activations. If this card is Link Summoned: You can target 1 Link Monster that was used as its Link Material; this card gains ATK equal to that monster's Link Rating x 1000. You can banish 1 Link Monster from your field or GY; destroy 1 card your opponent controls, also for the rest of this turn, you cannot banish monsters with that same Attribute to activate this effect of ""Accesscode Talker"".",Monster,Link;Effect,Cyberse,DARK,2300,,,,4,Middle-Left; Bottom-Center; Middle-Right; Top-Center
Accumulated Fortune ,0,Super Rare,Unlimited,Master Pack,,98444741,,Activate only as Chain Link 4 or higher. Draw 2 cards. You cannot activate this card if multiple cards/effects with the same name are in that Chain.,Trap,Normal,,,,,,,,
Ace★Spades Speculation ,0,Ultra Rare,Unlimited,Master Pack; The Masters Saga,,10796448,,"1 monster with 2500 or more ATK + 1 face-down Defense Position monster with 2500 or less DEF
You can only Special Summon ""Ace★Spades Speculation(s)"" once per turn. You can Tribute 1 Attack Position monster and 1 face-down Defense Position monster; Special Summon this card from your GY. This card gains the following effect based on its battle position.
●Attack Position: Gains ATK equal to the highest original ATK among monsters your opponent controls (your choice, if tied).
●Defense Position: Cannot be destroyed by battle or card effects.",Monster,Fusion;Effect,Warrior,LIGHT,2500,2500,7,,,
Achacha Archer ,0,Common,Unlimited,Legacy Pack,,98865920,,When this card is Normal or Flip Summoned: Inflict 500 damage to your opponent.,Monster,Effect,Warrior,FIRE,1200,600,3,,,
Achacha Chanbara ,0,Common,Unlimited,Legacy Pack,,62476197,,"During either player's turn, when a card or effect is activated that will inflict damage when it resolves: You can Special Summon this card from your hand, and if you do, inflict 400 damage to your opponent.",Monster,Effect,Warrior,FIRE,1400,400,3,,,
Achichi @Ignister ,0,Rare,Unlimited,AI Omniscience; Master Pack,,15808381,,"If this card is Normal or Special Summoned: You can add 1 Level 4 or lower ""@Ignister"" monster from your Deck to your hand, except ""Achichi @Ignister"". At the start of the Damage Step, when your Cyberse monster battles: You can banish this card from your GY; destroy that monster you control. You can only use each effect of ""Achichi @Ignister"" once per turn.",Monster,Effect,Cyberse,FIRE,800,800,2,,,
Acidic Downpour ,0,Common,Unlimited,Legacy Pack,,35956022,,All EARTH monsters lose 500 ATK and gain 400 DEF.,Spell,Field,,,,,,,,
Acid Crawler ,0,Common,Unlimited,Legacy Pack,,77568553,,A giant caterpillar that secretes an acid mist that melts anything.,Monster,Normal,Insect,EARTH,900,700,3,,,
Acid Rain ,0,Rare,Unlimited,Legacy Pack,,21323861,,Destroy all Machine monsters on the field.,Spell,Normal,,,,,,,,
Acid Trap Hole ,0,Common,Unlimited,Master Pack; Mother Nature's Snare,,41356845,,"Target 1 face-down Defense Position monster on the field; flip it face-up, then destroy it if its DEF is 2000 or less, or return it face-down if its DEF is more than 2000.",Trap,Normal,,,,,,,,
Acorno ,0,Common,Unlimited,Legacy Pack,,21051977,,"During your Main Phase: You can send 1 ""Pinecono"" from your hand to the Graveyard, and Special Summon this card from the hand.",Monster,Effect,Plant,EARTH,200,400,1,,,
